NOG,Start_date,End_date,Modality,Category,Event_description,Buyer_entity,Buyer_sub_entity,Seller,Qty_of_offers,Amount,Qty,Unit_of_measurement,Qty_sum,bigger_than,days
1227424,2010-07-12,2010-07-16,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Construcción y materiales afines, Otros tipos de bienes o servicios",REMODELACIÒN DE SERVICIO SANITARIO.,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ACCIDENTES CEIBAL,"PROARQ, MONTAJE Y GESTION INDUSTRIAL, SOCIEDAD ANONIMA",0,36949.07,1,SERVICIO,1,False,4 days 00:34:15.000000000
12274240,2020-03-30,2020-04-02,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Muebles y mobiliario de oficina, Salud e insumos hospitalarios","Electroestimulador; Alimentación: 110 Voltio; Canales: 4 ; Contiene: Protector para unidad principal, cargador, estuche, botella de gel y batería; Tipo: Portátil;",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,UNIONEXPORT SOCIEDAD ANONIMA,3,13200.0,1,Unidad - 1 Unidad,1,False,2 days 23:28:03.000000000
12274267,2020-03-20,2020-03-24,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"72-SUTURA ABSORBIBLE SINTÉTICA MULTIFILAMENTO TRENZADA CON RECUBRIMIENTO NO. 3-0, AGUJA CURVA, 1/2 CÍRCULO, PUNTA CÓNICA, CILÍNDRICA. 2.4.0.1.1. (26mm). EMPAQUE INDIVIDUAL, ESTÉRIL, LIBRE DE PIRÓGENOS, LARGO DE HEBRA MÍNIMO 65cm."" c-7247",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"HOSPITAL DEPARTAMENTAL PUERTO BARRIOS, IZABAL","LIVE, SOCIEDAD ANONIMA",1,658.8,72,Unidad - 1 Unidad,72,False,3 days 14:51:36.000000000
12274275,2020-03-30,2020-04-02,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Muebles y mobiliario de oficina, Salud e insumos hospitalarios",Armario persianizado; Alto: 105 Centímetro(s); Ancho: 120 Centímetro(s); Entrepaños: 2; Fondo: 45 Centímetro(s); Forma: Rectangular; Material: Metal;,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"SMART OFFICE, SOCIEDAD ANONIMA",5,1115.0,1,Unidad - 1 Unidad,1,False,2 days 23:29:17.000000000
1227432,2010-07-12,2010-07-15,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,MANTENIMIENTO Y REPARACION DE VENTILADOR MSPAS NO.2010-ROO-CD-0324,MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,OXI-RENT SOCIEDAD ANONIMA,0,34764.0,2,SERVICIO,2,False,2 days 23:18:04.000000000
12274321,2020-03-30,2020-04-02,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Muebles y mobiliario de oficina, Salud e insumos hospitalarios",Escritorio; Acabado de estructura: Esmalte horneable color negro opaco; Acabado de tablero: Superficie lisa forrado de formica y tapacanto plástico; Gavetas: 3 (2 laterales y una central con llave. si,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"OFFYMARKET, SOCIEDAD ANONIMA",5,543.33,1,Unidad - 1 Unidad,1,False,2 days 23:30:34.000000000
12274356,2020-03-18,2020-03-20,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"PAQUETE DE ROPA DESCARTABLE DE POLIPROPILENO TRILAMINAR, ESTERIL, EMPAQUE DOBLE PARA CIRUGIA ORTOPEDICA, CODIGO IGSS: 9722. P.30256",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL GENERAL DE ACCIDENTES CEIBAL,SERVICIOS QUIRURGICOS SOCIEDAD ANONIMA,3,89000.0,500,Unidad - 1 Unidad,500,False,1 days 15:01:42.000000000
12274372,2020-03-30,2020-04-02,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Muebles y mobiliario de oficina, Salud e insumos hospitalarios",Silla secretarial; Alto de respaldo: 41 Centímetro(s); Ancho de asiento: 43 Centímetro(s); Ancho de respaldo: 29 Centímetro(s); Diseño: Ergonómico sin apoyabrazos; Estructura: Plástica; Graduación de,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"OFFYMARKET, SOCIEDAD ANONIMA",6,327.4,1,Unidad - 1 Unidad,1,False,2 days 23:31:43.000000000
12274399,2020-03-30,2020-04-02,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Computación y telecomunicaciones, Muebles y mobiliario de oficina",Impresora multifuncional; Área de impresión máxima: 21.6 cms de ancho x 111 de largo; Calidad de impresión: 5760 x 1440 dpi; Capacidad por bandeja: 100 hojas/10 sobres; Resolución óptima de escáner: 1,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,SOLUCIONES DE CENTRO AMERICA SOCIEDAD ANONIMA,13,21360.0,16,Unidad - 1 Unidad,16,False,2 days 23:32:39.000000000
12274410,2020-03-30,2020-04-02,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),"Muebles y mobiliario de oficina, Salud e insumos hospitalarios",Cámara refrigerante; Clase: Semi industrial; Material: Metal; Puerta: 2; Voltaje de alimentación: 120 Voltio(s); Volumen: 23 Pie Cúbico(s);,INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,HOSPITAL DE GINECO OBSTETRICIA,"CORPORACION GRUPO TACSA, SOCIEDAD ANONIMA",5,33000.0,2,Unidad - 1 Unidad,2,False,2 days 23:37:46.000000000
12274429,2020-03-20,2020-03-24,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),Salud e insumos hospitalarios,"20-MALLA PARA REFUERZO DE PARED DE POLIESTER HIDROFÍLICO, MONOFILAMENTO CON TEJIDO CALADO Y SELLADO, POROSO, FLEXIBLE, BAJA DENSIDAD TAMAÑO 15 cm X 15 cm, EMPAQUE,INDIVIDUAL, ESTÉRIL."" C-15573.",INSTITUTO GUATEMALTECO DE SEGURIDAD SOCIAL -IGSS-,"HOSPITAL DEPARTAMENTAL PUERTO BARRIOS, IZABAL",SERVICIOS QUIRURGICOS SOCIEDAD ANONIMA,1,46600.0,20,Unidad - 1 Unidad,20,False,3 days 14:45:26.000000000
